Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total Sales,Market Share
2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,0,0,0,0,0,0,240,109398,267355,211273,376993,10.95285826
2W,TVS MOTOR COMPANY LTD,165,171,69,23,30,233,5258,47182,166580,98516,219711,6.383310672
2W,HERO ELECTRIC VEHICLES PVT. LTD,1,34,162,5785,11155,8247,46260,97828,29964,2211,199436,5.794256761
2W,OKINAWA AUTOTECH PVT LTD,0,1,331,8452,11850,5754,30659,103620,31616,3893,192283,5.586439122
2W,ATHER ENERGY PVT LTD,0,0,0,24,2291,3052,15930,51808,104735,58547,177840,5.166823554
2W,AMPERE VEHICLES PRIVATE LIMITED,0,0,0,0,1196,4522,12470,79857,42903,857,140948,4.094992388
3W,YC ELECTRIC VEHICLE,1,1665,7434,10816,13213,9543,15793,29793,40794,23892,129052,3.749375356
2W,BAJAJ AUTO LTD,161,78,43,7,7,1243,4633,25318,71940,73698,103430,3.00497391
3W,MAHINDRA & MAHINDRA LIMITED,2,35,242,4150,6725,4564,3860,13558,37942,1331,71078,2.065044335
3W,SAERA ELECTRIC AUTO PVT LTD,140,1203,1532,3226,5080,4153,7098,19314,29321,16408,71067,2.06472475
3W,DILLI ELECTRIC AUTO PVT LTD,16,1573,2205,3404,3954,2541,5361,13987,25071,11832,58112,1.688340364
LMV,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,0,0,30610,21420,490,52030,1.511638717
3W,CHAMPION POLY PLAST,0,492,1744,3005,4215,2741,6672,13091,14877,6654,46837,1.360765378
LMV,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,0,0,0,0,0,38580,35830,38580,1.120872991
3W,MINI METRO EV L.L.P,0,125,599,2513,2265,1754,3447,10487,15962,7092,37152,1.079385002
3W,OTHERS,1708,13401,15094,1687,312,199,777,2165,1435,174,36778,1.0685191
2W,PUR ENERGY PVT LTD,0,0,0,0,0,720,11044,14953,7191,3143,33908,0.985136376
3W,UNIQUE INTERNATIONAL,0,0,266,1515,2125,1776,3988,10246,13572,8121,33488,0.972934026
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,0,0,51,35,1786,3219,6711,15931,4949,57,32682,0.949517136
3W,PIAGGIO VEHICLES PVT LTD,5,4,3,11,1,79,2247,7431,21079,12869,30860,0.89658218
3W,J. S. AUTO (P) LTD,0,95,2652,2921,2314,1260,3075,6947,11165,6278,30429,0.884060245
3W,TERRA MOTORS INDIA PVT LTD,0,64,893,2704,3545,2631,3404,7876,8810,4959,29927,0.869475531
2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,480,2098,4704,14910,6976,4650,29168,0.847424142
3W,ENERGY ELECTRIC VEHICLES,0,361,1928,2606,2407,1324,3070,6263,11080,6782,29039,0.843676277
2W,OTHERS,110,136,382,1929,1576,933,8541,15099,195,4,28901,0.839666934
3W,THUKRAL ELECTRIC BIKES PVT LTD,326,1493,1825,2850,3303,1986,3895,5915,7271,3924,28864,0.838591965
3W,BEST WAY AGENCIES PVT LTD,0,57,1501,2044,2312,2155,5022,6447,7902,3545,27440,0.797220188
3W,VANI ELECTRIC VEHICLES PVT LTD,0,0,211,1996,3217,3083,3924,5969,7832,4577,26232,0.762123906
2W,OKAYA EV PVT LTD,0,0,0,0,0,0,0,8913,15816,4387,24729,0.718456926
2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,410,24045,18424,24455,0.710496345
3W,ALLFINE INDUSTRIES PVT LTD,0,2,239,763,1737,1180,2370,5884,10743,6317,22918,0.665841555
3W,SKS TRADE INDIA PVT LTD,0,0,203,770,1354,854,2236,6308,10078,5687,21803,0.633447222
3W,HOTAGE INDIA,0,5,688,1168,856,470,1046,4397,12840,7423,21470,0.623772502
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,0,0,0,0,0,567,4758,13130,3005,402,21460,0.62348197
3W,G.K. RICKSHAW,0,0,816,1626,2257,2405,2491,4151,5514,2850,19260,0.559564899
LMV,TATA MOTORS LTD,9,10,3,144,419,2717,10033,1621,1766,3076,16722,0.485827842
3W,KHALSA E-VEHICLES PVT LTD,0,0,129,1299,1233,607,1214,3712,8478,5591,16672,0.484375182
LMV,MG MOTOR INDIA PVT LTD,0,0,0,0,7,772,2384,3430,9520,7229,16113,0.468134435
2W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,0,46,454,1967,9553,2617,687,14637,0.425251891
3W,MAA SHAKTI EXIM PVT LTD,23,982,1196,2033,1988,881,1804,2865,2571,1373,14343,0.416710246
3W,VICTORY ELECTRIC INTERNATIONAL,107,846,1466,2381,1971,858,1243,2135,3319,1402,14326,0.416216342
3W,M/S SHRIRAM AUTO TECH PVT LTD,0,626,2227,2250,1614,692,787,2205,3637,1852,14038,0.407849016
3W,SPEEGO VEHICLES CO PVT LTD,0,33,427,900,913,891,1877,3734,4770,2228,13545,0.393525782
2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,1983,11454,10711,13437,0.390388035
3W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,389,1079,1701,1610,672,1448,2930,3304,1461,13133,0.381555858
3W,LECTRIX EV PVT LTD,0,0,0,0,0,7,876,4646,7288,3785,12817,0.372375042
3W,HOOGHLY MOTORS PVT LTD,0,0,918,1216,1855,689,1091,2599,3741,2783,12109,0.351805367
3W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,12,383,1374,1463,669,835,2704,4648,1756,12088,0.351195249
3W,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,0,11733,34331,11733,0.340881358
2W,HERO MOTOCORP LTD,92,157,74,39,33,0,0,182,11142,19479,11719,0.340474613
3W,BRIGHT AUTOZONE PVT LTD,0,43,608,713,708,413,1708,3702,3695,1853,11590,0.336726749
